ID,Product/Product/ID,Point of Sale Category,Internal Reference,Quantity On Hand,Sales Price,Cost,Updated Sales Price,Updated Cost,Status
12298,__export__.product_product_12295_96f39639,Bajaj / 2W,36JZ0066,0.0,3760.0,3760.0,,,
13333,__export__.product_product_13330_6e03d675,Bajaj / 2W,52JF0082,1.0,8110.0,8110.0,,,
12935,__export__.product_product_12932_f56919c9,Bajaj / 2W,52DH1357,0.0,22640.0,22640.0,,,
13048,__export__.product_product_13045_dd799e6c,Bajaj / 2W,52DJ0909,0.0,20960.0,20960.0,,,
13194,__export__.product_product_13191_097422f6,Bajaj / 2W,52DU0931,0.0,6910.0,6910.0,,,
13200,__export__.product_product_13197_c930c3cf,Bajaj / 2W,52DU1083,0.0,15050.0,15050.0,,,
13625,__export__.product_product_13622_90c5aa14,Bajaj / 2W,52JZ1823,2.0,19630.0,19630.0,,,
13748,__export__.product_product_13745_09255a54,Bajaj / 2W,52PF1154,0.0,6050.0,6050.0,,,
13199,__export__.product_product_13196_458c4c6b,Bajaj / 2W,52DU1082,0.0,14550.0,14550.0,,,
13190,__export__.product_product_13187_2bd8052b,Bajaj / 2W,52DU0926,1.0,7120.0,7120.0,,,
