External ID,Internal Reference,Sales Price,Cost
point_of_sale.01100719,01100719,20.0,20.0
point_of_sale.01100804,01100804,70.0,70.0
point_of_sale.01100817,01100817,55.0,55.0
point_of_sale.01100818,01100818,180.0,180.0
point_of_sale.01100821,01100821,25.0,25.0
point_of_sale.01100823,01100823,1530.0,1530.0
point_of_sale.01100828,01100828,55.0,55.0
point_of_sale.01100904,01100904,15.0,15.0
point_of_sale.01100905,01100905,60.0,60.0
point_of_sale.01100909,01100909,20.0,20.0
point_of_sale.01101004,01101004,15.0,15.0
point_of_sale.01101008,01101008,2.0,2.0
point_of_sale.01101009,01101009,1680.0,1680.0
point_of_sale.01101009K,01101009K,3070.0,3070.0
point_of_sale.01101131,01101131,5.0,5.0
point_of_sale.01101205,01101205,570.0,570.0
point_of_sale.01101206,01101206,65.0,65.0
point_of_sale.01101306,01101306,20.0,20.0
point_of_sale.01110609,01110609,5.0,5.0
point_of_sale.01120209,01120209,20.0,20.0
point_of_sale.01120218,01120218,60.0,60.0
point_of_sale.01120222,01120222,95.0,95.0
point_of_sale.01140116,01140116,25.0,25.0
point_of_sale.01140117,01140117,135.0,135.0
point_of_sale.01140213,01140213,20.0,20.0
point_of_sale.01140220,01140220,75.0,75.0
point_of_sale.01140228,01140228,35.0,35.0
point_of_sale.01150112,01150112,35.0,35.0
